Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Academic Radiology,43,Elsevier Science,/scimag/journals/43,/scimag/?journal=43&page=1,364,/scimag/?journal=43&year=2017&volume=24&issue=1,/scimag/?journal=43&year=2018&volume=25&issue=1,/scimag/?journal=43&year=2019&volume=26&issue=1,/scimag/?journal=43&year=2020&volume=27&issue=1,/scimag/?journal=43&year=2021&volume=28&issue=1
ACC Current Journal Review,52,Elsevier Science,/scimag/journals/52,/scimag/?journal=52&page=1,171,,,,,
Accident Analysis & Prevention,53,Elsevier Science,/scimag/journals/53,/scimag/?journal=53&page=1,302,/scimag/?journal=53&year=2017&volume=98&issue=,/scimag/?journal=53&year=2018&volume=110&issue=,/scimag/?journal=53&year=2019&volume=122&issue=,/scimag/?journal=53&year=2020&volume=134&issue=,/scimag/?journal=53&year=2021&volume=149&issue=
Accident and Emergency Nursing,54,Elsevier Science,/scimag/journals/54,/scimag/?journal=54&page=1,51,,,,,
Accounting Forum,65,Elsevier Science,/scimag/journals/65,/scimag/?journal=65&page=1,25,/scimag/?journal=65&year=2017&volume=41&issue=1,/scimag/?journal=65&year=2018&volume=42&issue=1,/scimag/?journal=65&year=2019&volume=43&issue=1,/scimag/?journal=65&year=2020&volume=44&issue=1,
"Accounting, Management and Information Technologies",73,Elsevier Science,/scimag/journals/73,/scimag/?journal=73&page=1,6,,,,,
"Accounting, Organizations and Society",74,Elsevier Science,/scimag/journals/74,/scimag/?journal=74&page=1,80,/scimag/?journal=74&year=2017&volume=56&issue=,/scimag/?journal=74&year=2018&volume=64&issue=,/scimag/?journal=74&year=2019&volume=73&issue=,/scimag/?journal=74&year=2020&volume=80&issue=,
Acta Astronautica,204,Elsevier Science,/scimag/journals/204,/scimag/?journal=204&page=1,447,/scimag/?journal=204&year=2017&volume=130&issue=,/scimag/?journal=204&year=2018&volume=142&issue=,/scimag/?journal=204&year=2019&volume=154&issue=,/scimag/?journal=204&year=2020&volume=166&issue=,/scimag/?journal=204&year=2021&volume=178&issue=
Acta Biomaterialia,211,Elsevier Science,/scimag/journals/211,/scimag/?journal=211&page=1,286,/scimag/?journal=211&year=2017&volume=47&issue=,/scimag/?journal=211&year=2018&volume=65&issue=,/scimag/?journal=211&year=2019&volume=83&issue=,/scimag/?journal=211&year=2020&volume=102&issue=,/scimag/?journal=211&year=2021&volume=120&issue=
Acta Ecologica Sinica (Elsevier),242,Elsevier Science,/scimag/journals/242,/scimag/?journal=242&page=1,39,/scimag/?journal=242&year=2017&volume=37&issue=1,/scimag/?journal=242&year=2018&volume=38&issue=1,/scimag/?journal=242&year=2019&volume=39&issue=5,/scimag/?journal=242&year=2020&volume=40&issue=1,
Acta Genetica Sinica,250,Elsevier Science,/scimag/journals/250,/scimag/?journal=250&page=1,6,,,,,
Acta Histochemica,259,Elsevier Science,/scimag/journals/259,/scimag/?journal=259&page=1,160,/scimag/?journal=259&year=2017&volume=119&issue=1,/scimag/?journal=259&year=2018&volume=120&issue=1,/scimag/?journal=259&year=2019&volume=121&issue=1,/scimag/?journal=259&year=2020&volume=122&issue=1,/scimag/?journal=259&year=2021&volume=123&issue=1
Acta Materialia,275,Elsevier Science,/scimag/journals/275,/scimag/?journal=275&page=1,638,/scimag/?journal=275&year=2017&volume=122&issue=,/scimag/?journal=275&year=2018&volume=142&issue=,/scimag/?journal=275&year=2019&volume=162&issue=,/scimag/?journal=275&year=2020&volume=182&issue=,/scimag/?journal=275&year=2021&volume=202&issue=
Acta Mathematica Scientia,279,Elsevier Science,/scimag/journals/279,/scimag/?journal=279&page=1,110,/scimag/?journal=279&year=2017&volume=37&issue=1,/scimag/?journal=279&year=2018&volume=38&issue=1,/scimag/?journal=279&year=2019&volume=39&issue=6,/scimag/?journal=279&year=2020&volume=40&issue=1,/scimag/?journal=279&year=2021&volume=41&issue=1
