Journal_Id,Year,Authors,Title,DOI,Link1,Link2,Keyword
53,2018,,Editorial Board,10.1016/s0001-4575(17)30409-8 ,https://sci-hub.se/10.1016/s0001-4575%2817%2930409-8,https://booksc.org/s/?q=10.1016/s0001-4575%2817%2930409-8,editorial board
53,2020,,Editorial Board,10.1016/s0001-4575(19)31668-9 ,https://sci-hub.se/10.1016/s0001-4575%2819%2931668-9,https://booksc.org/s/?q=10.1016/s0001-4575%2819%2931668-9,editorial board
53,2021,,Editorial Board,10.1016/S0001-4575(20)31748-6 ,https://sci-hub.se/10.1016/S0001-4575%2820%2931748-6,https://booksc.org/s/?q=10.1016/S0001-4575%2820%2931748-6,editorial board
65,2017,,Editorial Board,10.1016/S0155-9982(17)30077-7 ,https://sci-hub.se/10.1016/S0155-9982%2817%2930077-7,https://booksc.org/s/?q=10.1016/S0155-9982%2817%2930077-7,editorial board
65,2018,,Editorial Board,10.1016/s0155-9982(18)30033-4 ,https://sci-hub.se/10.1016/s0155-9982%2818%2930033-4,https://booksc.org/s/?q=10.1016/s0155-9982%2818%2930033-4,editorial board
74,2017,,Editorial board and publication information,10.1016/s0361-3682(17)30003-x ,https://sci-hub.se/10.1016/s0361-3682%2817%2930003-x,https://booksc.org/s/?q=10.1016/s0361-3682%2817%2930003-x,editorial board
74,2018,,Editorial Board,10.1016/S0361-3682(18)30005-9 ,https://sci-hub.se/10.1016/S0361-3682%2818%2930005-9,https://booksc.org/s/?q=10.1016/S0361-3682%2818%2930005-9,editorial board
74,2019,,Editorial Board,10.1016/S0361-3682(19)30017-0 ,https://sci-hub.se/10.1016/S0361-3682%2819%2930017-0,https://booksc.org/s/?q=10.1016/S0361-3682%2819%2930017-0,editorial board
74,2020,,Editorial Board,10.1016/s0361-3682(20)30006-4 ,https://sci-hub.se/10.1016/s0361-3682%2820%2930006-4,https://booksc.org/s/?q=10.1016/s0361-3682%2820%2930006-4,editorial board
204,2017,,IFC - Publication Information,10.1016/s0094-5765(16)31182-1 ,https://sci-hub.se/10.1016/s0094-5765%2816%2931182-1,https://booksc.org/s/?q=10.1016/s0094-5765%2816%2931182-1,publication information
204,2018,,IFC - Publication Information,10.1016/s0094-5765(17)31714-9 ,https://sci-hub.se/10.1016/s0094-5765%2817%2931714-9,https://booksc.org/s/?q=10.1016/s0094-5765%2817%2931714-9,publication information
204,2019,,IFC - Publication Information,10.1016/S0094-5765(18)31873-3 ,https://sci-hub.se/10.1016/S0094-5765%2818%2931873-3,https://booksc.org/s/?q=10.1016/S0094-5765%2818%2931873-3,publication information
211,2017,,Editorial Board,10.1016/s1742-7061(16)30612-2 ,https://sci-hub.se/10.1016/s1742-7061%2816%2930612-2,https://booksc.org/s/?q=10.1016/s1742-7061%2816%2930612-2,editorial board
211,2018,,Editorial Board,10.1016/s1742-7061(17)30723-7 ,https://sci-hub.se/10.1016/s1742-7061%2817%2930723-7,https://booksc.org/s/?q=10.1016/s1742-7061%2817%2930723-7,editorial board
211,2019,,Editorial Board,10.1016/s1742-7061(18)30719-0 ,https://sci-hub.se/10.1016/s1742-7061%2818%2930719-0,https://booksc.org/s/?q=10.1016/s1742-7061%2818%2930719-0,editorial board
211,2020,,Editorial Board,10.1016/s1742-7061(19)30861-x ,https://sci-hub.se/10.1016/s1742-7061%2819%2930861-x,https://booksc.org/s/?q=10.1016/s1742-7061%2819%2930861-x,editorial board
259,2017,,Editorial Board ((ofc)),10.1016/s0065-1281(16)30386-5 ,https://sci-hub.se/10.1016/s0065-1281%2816%2930386-5,https://booksc.org/s/?q=10.1016/s0065-1281%2816%2930386-5,editorial board
259,2018,,Editorial Board,10.1016/s0065-1281(17)30442-7 ,https://sci-hub.se/10.1016/s0065-1281%2817%2930442-7,https://booksc.org/s/?q=10.1016/s0065-1281%2817%2930442-7,editorial board
259,2019,,Editorial Board,10.1016/S0065-1281(18)30439-2 ,https://sci-hub.se/10.1016/S0065-1281%2818%2930439-2,https://booksc.org/s/?q=10.1016/S0065-1281%2818%2930439-2,editorial board
259,2020,,Editorial Board,10.1016/s0065-1281(19)30483-0 ,https://sci-hub.se/10.1016/s0065-1281%2819%2930483-0,https://booksc.org/s/?q=10.1016/s0065-1281%2819%2930483-0,editorial board
275,2018,,Editors for Acta Materialia,10.1016/s1359-6454(17)30881-9 ,https://sci-hub.se/10.1016/s1359-6454%2817%2930881-9,https://booksc.org/s/?q=10.1016/s1359-6454%2817%2930881-9,editors
275,2019,,Editors for Acta Materialia,10.1016/S1359-6454(18)30823-1 ,https://sci-hub.se/10.1016/S1359-6454%2818%2930823-1,https://booksc.org/s/?q=10.1016/S1359-6454%2818%2930823-1,editors
275,2020,,Editors for Acta Materialia,10.1016/s1359-6454(19)30774-8 ,https://sci-hub.se/10.1016/s1359-6454%2819%2930774-8,https://booksc.org/s/?q=10.1016/s1359-6454%2819%2930774-8,editors
312,2017,,Editorial Board,10.1016/s1146-609x(17)30007-3 ,https://sci-hub.se/10.1016/s1146-609x%2817%2930007-3,https://booksc.org/s/?q=10.1016/s1146-609x%2817%2930007-3,editorial board
312,2018,,Editorial Board,10.1016/S1146-609X(18)30009-2 ,https://sci-hub.se/10.1016/S1146-609X%2818%2930009-2,https://booksc.org/s/?q=10.1016/S1146-609X%2818%2930009-2,editorial board
312,2019,,Editorial Board,10.1016/S1146-609X(18)30440-5 ,https://sci-hub.se/10.1016/S1146-609X%2818%2930440-5,https://booksc.org/s/?q=10.1016/S1146-609X%2818%2930440-5,editorial board
312,2020,,Editorial Board,10.1016/s1146-609x(20)30010-2 ,https://sci-hub.se/10.1016/s1146-609x%2820%2930010-2,https://booksc.org/s/?q=10.1016/s1146-609x%2820%2930010-2,editorial board
366,2017,,Editorial Board,10.1016/s0001-6918(16)30395-x ,https://sci-hub.se/10.1016/s0001-6918%2816%2930395-x,https://booksc.org/s/?q=10.1016/s0001-6918%2816%2930395-x,editorial board
366,2018,,Editorial Board,10.1016/S0001-6918(17)30583-8 ,https://sci-hub.se/10.1016/S0001-6918%2817%2930583-8,https://booksc.org/s/?q=10.1016/S0001-6918%2817%2930583-8,editorial board
366,2019,,Editorial Board,10.1016/S0001-6918(18)30597-3 ,https://sci-hub.se/10.1016/S0001-6918%2818%2930597-3,https://booksc.org/s/?q=10.1016/S0001-6918%2818%2930597-3,editorial board
366,2020,,Editorial Board,10.1016/s0001-6918(19)30554-2 ,https://sci-hub.se/10.1016/s0001-6918%2819%2930554-2,https://booksc.org/s/?q=10.1016/s0001-6918%2819%2930554-2,editorial board
366,2021,,Editorial Board,10.1016/S0001-6918(20)30568-0 ,https://sci-hub.se/10.1016/S0001-6918%2820%2930568-0,https://booksc.org/s/?q=10.1016/S0001-6918%2820%2930568-0,editorial board
384,2017,,Editor/Editorial Board,10.1016/s0001-706x(16)31000-2 ,https://sci-hub.se/10.1016/s0001-706x%2816%2931000-2,https://booksc.org/s/?q=10.1016/s0001-706x%2816%2931000-2,editorial board
384,2018,,Editor/Editorial Board,10.1016/s0001-706x(17)31285-8 ,https://sci-hub.se/10.1016/s0001-706x%2817%2931285-8,https://booksc.org/s/?q=10.1016/s0001-706x%2817%2931285-8,editorial board
384,2019,,Editorial Board,10.1016/s0001-706x(18)31395-0 ,https://sci-hub.se/10.1016/s0001-706x%2818%2931395-0,https://booksc.org/s/?q=10.1016/s0001-706x%2818%2931395-0,editorial board
384,2020,,Editorial Board,10.1016/s0001-706x(19)31589-x ,https://sci-hub.se/10.1016/s0001-706x%2819%2931589-x,https://booksc.org/s/?q=10.1016/s0001-706x%2819%2931589-x,editorial board
411,2017,,Editorial board,10.1016/s0515-3700(16)30527-4 ,https://sci-hub.se/10.1016/s0515-3700%2816%2930527-4,https://booksc.org/s/?q=10.1016/s0515-3700%2816%2930527-4,editorial board
411,2018,,Editorial board,10.1016/s0515-3700(17)30530-x ,https://sci-hub.se/10.1016/s0515-3700%2817%2930530-x,https://booksc.org/s/?q=10.1016/s0515-3700%2817%2930530-x,editorial board
411,2019,,Editorial board,10.1016/S0515-3700(18)30504-4 ,https://sci-hub.se/10.1016/S0515-3700%2818%2930504-4,https://booksc.org/s/?q=10.1016/S0515-3700%2818%2930504-4,editorial board
411,2020,,Editorial Board,10.1016/S0515-3700(20)30029-X ,https://sci-hub.se/10.1016/S0515-3700%2820%2930029-X,https://booksc.org/s/?q=10.1016/S0515-3700%2820%2930029-X,editorial board
417,2017,,Editorial Board,10.1016/s1570-8705(16)30302-x ,https://sci-hub.se/10.1016/s1570-8705%2816%2930302-x,https://booksc.org/s/?q=10.1016/s1570-8705%2816%2930302-x,editorial board
417,2018,,Editorial Board,10.1016/S1570-8705(17)30193-2 ,https://sci-hub.se/10.1016/S1570-8705%2817%2930193-2,https://booksc.org/s/?q=10.1016/S1570-8705%2817%2930193-2,editorial board
417,2019,,Editorial Board,10.1016/s1570-8705(18)30800-x ,https://sci-hub.se/10.1016/s1570-8705%2818%2930800-x,https://booksc.org/s/?q=10.1016/s1570-8705%2818%2930800-x,editorial board
417,2020,,Editorial Board,10.1016/s1570-8705(19)30879-0 ,https://sci-hub.se/10.1016/s1570-8705%2819%2930879-0,https://booksc.org/s/?q=10.1016/s1570-8705%2819%2930879-0,editorial board
417,2021,,Editorial Board,10.1016/S1570-8705(20)30687-9 ,https://sci-hub.se/10.1016/S1570-8705%2820%2930687-9,https://booksc.org/s/?q=10.1016/S1570-8705%2820%2930687-9,editorial board
427,2019,,Editorial Board,10.1016/S0306-4603(18)31082-7 ,https://sci-hub.se/10.1016/S0306-4603%2818%2931082-7,https://booksc.org/s/?q=10.1016/S0306-4603%2818%2931082-7,editorial board
427,2020,,Editorial Board,10.1016/s0306-4603(19)31338-3 ,https://sci-hub.se/10.1016/s0306-4603%2819%2931338-3,https://booksc.org/s/?q=10.1016/s0306-4603%2819%2931338-3,editorial board
460,2017,"Ghandehari, Hamidreza",Editorial: Editors’ Collection 2016,10.1016/j.addr.2017.01.002 ,https://sci-hub.se/10.1016/j.addr.2017.01.002,https://booksc.org/s/?q=10.1016/j.addr.2017.01.002,editors
460,2017,,Editorial Board Members,10.1016/s0169-409x(17)30006-6 ,https://sci-hub.se/10.1016/s0169-409x%2817%2930006-6,https://booksc.org/s/?q=10.1016/s0169-409x%2817%2930006-6,editorial board
460,2018,,Editorial board members,10.1016/s0169-409x(17)30297-1 ,https://sci-hub.se/10.1016/s0169-409x%2817%2930297-1,https://booksc.org/s/?q=10.1016/s0169-409x%2817%2930297-1,editorial board
460,2019,,Editorial board,10.1016/s0169-409x(19)30030-4 ,https://sci-hub.se/10.1016/s0169-409x%2819%2930030-4,https://booksc.org/s/?q=10.1016/s0169-409x%2819%2930030-4,editorial board
460,2020,,Editorial Board,10.1016/S0169-409X(20)30089-2 ,https://sci-hub.se/10.1016/S0169-409X%2820%2930089-2,https://booksc.org/s/?q=10.1016/S0169-409X%2820%2930089-2,editorial board
464,2017,,Editorial board,10.1016/s1474-0346(16)30469-4 ,https://sci-hub.se/10.1016/s1474-0346%2816%2930469-4,https://booksc.org/s/?q=10.1016/s1474-0346%2816%2930469-4,editorial board
464,2018,,Editorial Board,10.1016/S1474-0346(18)30081-8 ,https://sci-hub.se/10.1016/S1474-0346%2818%2930081-8,https://booksc.org/s/?q=10.1016/S1474-0346%2818%2930081-8,editorial board
476,2017,,"Inside Front Cover (Aims & Scope, Editors)",10.1016/s0921-8831(17)30020-1 ,https://sci-hub.se/10.1016/s0921-8831%2817%2930020-1,https://booksc.org/s/?q=10.1016/s0921-8831%2817%2930020-1,editors
476,2017,,Full title (Editorial Board Members),10.1016/s0921-8831(17)30021-3 ,https://sci-hub.se/10.1016/s0921-8831%2817%2930021-3,https://booksc.org/s/?q=10.1016/s0921-8831%2817%2930021-3,editorial board
476,2018,,"Inside Front Cover (Aims & Scope, Editors)",10.1016/s0921-8831(17)30478-8 ,https://sci-hub.se/10.1016/s0921-8831%2817%2930478-8,https://booksc.org/s/?q=10.1016/s0921-8831%2817%2930478-8,editors
476,2018,,Full title (Editorial Board Members),10.1016/s0921-8831(17)30479-x ,https://sci-hub.se/10.1016/s0921-8831%2817%2930479-x,https://booksc.org/s/?q=10.1016/s0921-8831%2817%2930479-x,editorial board
482,2017,,Editorial Board,10.1016/s0882-6110(17)30025-1 ,https://sci-hub.se/10.1016/s0882-6110%2817%2930025-1,https://booksc.org/s/?q=10.1016/s0882-6110%2817%2930025-1,editorial board
482,2018,,Editorial Board,10.1016/S0882-6110(18)30056-7 ,https://sci-hub.se/10.1016/S0882-6110%2818%2930056-7,https://booksc.org/s/?q=10.1016/S0882-6110%2818%2930056-7,editorial board
482,2019,,Editorial Board,10.1016/s0882-6110(19)30044-6 ,https://sci-hub.se/10.1016/s0882-6110%2819%2930044-6,https://booksc.org/s/?q=10.1016/s0882-6110%2819%2930044-6,editorial board
482,2020,,Editorial Board,10.1016/s0882-6110(20)30031-6 ,https://sci-hub.se/10.1016/s0882-6110%2820%2930031-6,https://booksc.org/s/?q=10.1016/s0882-6110%2820%2930031-6,editorial board
489,2017,,Associate Editors,10.1016/s0737-6146(17)30018-7 ,https://sci-hub.se/10.1016/s0737-6146%2817%2930018-7,https://booksc.org/s/?q=10.1016/s0737-6146%2817%2930018-7,editors
489,2018,,Associate Editors,10.1016/s0737-6146(18)30019-4 ,https://sci-hub.se/10.1016/s0737-6146%2818%2930019-4,https://booksc.org/s/?q=10.1016/s0737-6146%2818%2930019-4,editors
489,2019,,Associate Editors,10.1016/s0737-6146(19)30018-8 ,https://sci-hub.se/10.1016/s0737-6146%2819%2930018-8,https://booksc.org/s/?q=10.1016/s0737-6146%2819%2930018-8,editors
489,2020,,Associate Editors,10.1016/S0737-6146(20)30022-8 ,https://sci-hub.se/10.1016/S0737-6146%2820%2930022-8,https://booksc.org/s/?q=10.1016/S0737-6146%2820%2930022-8,editors
495,2017,,Editorial Board,10.1016/s0196-8858(16)30097-5 ,https://sci-hub.se/10.1016/s0196-8858%2816%2930097-5,https://booksc.org/s/?q=10.1016/s0196-8858%2816%2930097-5,editorial board
495,2017,,Editorial Board,10.1016/s0196-8858(16)30098-7 ,https://sci-hub.se/10.1016/s0196-8858%2816%2930098-7,https://booksc.org/s/?q=10.1016/s0196-8858%2816%2930098-7,editorial board
495,2018,,Editorial Board,10.1016/S0196-8858(17)30118-5 ,https://sci-hub.se/10.1016/S0196-8858%2817%2930118-5,https://booksc.org/s/?q=10.1016/S0196-8858%2817%2930118-5,editorial board
495,2018,,Editorial Board,10.1016/S0196-8858(17)30119-7 ,https://sci-hub.se/10.1016/S0196-8858%2817%2930119-7,https://booksc.org/s/?q=10.1016/S0196-8858%2817%2930119-7,editorial board
495,2019,,Editorial Board,10.1016/S0196-8858(18)30110-6 ,https://sci-hub.se/10.1016/S0196-8858%2818%2930110-6,https://booksc.org/s/?q=10.1016/S0196-8858%2818%2930110-6,editorial board
495,2021,,Editorial Board,10.1016/S0196-8858(20)30127-5 ,https://sci-hub.se/10.1016/S0196-8858%2820%2930127-5,https://booksc.org/s/?q=10.1016/S0196-8858%2820%2930127-5,editorial board
521,2017,,Editorial Board,10.1053/s1548-5595(17)30021-6 ,https://sci-hub.se/10.1053/s1548-5595%2817%2930021-6,https://booksc.org/s/?q=10.1053/s1548-5595%2817%2930021-6,editorial board
521,2018,,Editorial Board,10.1053/S1548-5595(18)30023-5 ,https://sci-hub.se/10.1053/S1548-5595%2818%2930023-5,https://booksc.org/s/?q=10.1053/S1548-5595%2818%2930023-5,editorial board
526,2017,,Editorial Board,10.1016/s0001-8686(17)30035-0 ,https://sci-hub.se/10.1016/s0001-8686%2817%2930035-0,https://booksc.org/s/?q=10.1016/s0001-8686%2817%2930035-0,editorial board
526,2018,,Editorial Board,10.1016/S0001-8686(18)30005-8 ,https://sci-hub.se/10.1016/S0001-8686%2818%2930005-8,https://booksc.org/s/?q=10.1016/S0001-8686%2818%2930005-8,editorial board
526,2019,,Editorial Board,10.1016/S0001-8686(18)30377-4 ,https://sci-hub.se/10.1016/S0001-8686%2818%2930377-4,https://booksc.org/s/?q=10.1016/S0001-8686%2818%2930377-4,editorial board
526,2020,,Editorial Board,10.1016/s0001-8686(19)30492-0 ,https://sci-hub.se/10.1016/s0001-8686%2819%2930492-0,https://booksc.org/s/?q=10.1016/s0001-8686%2819%2930492-0,editorial board
545,2017,,Editorial Board/Publishing Info,10.1016/s0965-9978(16)30616-0 ,https://sci-hub.se/10.1016/s0965-9978%2816%2930616-0,https://booksc.org/s/?q=10.1016/s0965-9978%2816%2930616-0,editorial board
545,2018,,IFC: Editorial Board/ Publishing Info,10.1016/s0965-9978(17)31121-3 ,https://sci-hub.se/10.1016/s0965-9978%2817%2931121-3,https://booksc.org/s/?q=10.1016/s0965-9978%2817%2931121-3,editorial board
545,2019,,Editorial Board,10.1016/S0965-9978(18)31236-5 ,https://sci-hub.se/10.1016/S0965-9978%2818%2931236-5,https://booksc.org/s/?q=10.1016/S0965-9978%2818%2931236-5,editorial board
545,2020,,Editorial Board,10.1016/s0965-9978(19)31087-7 ,https://sci-hub.se/10.1016/s0965-9978%2819%2931087-7,https://booksc.org/s/?q=10.1016/s0965-9978%2819%2931087-7,editorial board
545,2021,,Editorial Board,10.1016/S0965-9978(20)30995-9 ,https://sci-hub.se/10.1016/S0965-9978%2820%2930995-9,https://booksc.org/s/?q=10.1016/S0965-9978%2820%2930995-9,editorial board
584,2018,,Editorial Board,10.1016/s0001-8708(17)30330-4 ,https://sci-hub.se/10.1016/s0001-8708%2817%2930330-4,https://booksc.org/s/?q=10.1016/s0001-8708%2817%2930330-4,editorial board
584,2018,,Editorial Board,10.1016/s0001-8708(17)30331-6 ,https://sci-hub.se/10.1016/s0001-8708%2817%2930331-6,https://booksc.org/s/?q=10.1016/s0001-8708%2817%2930331-6,editorial board
584,2019,,Editorial Board,10.1016/s0001-8708(18)30460-2 ,https://sci-hub.se/10.1016/s0001-8708%2818%2930460-2,https://booksc.org/s/?q=10.1016/s0001-8708%2818%2930460-2,editorial board
584,2019,,Editorial Board,10.1016/s0001-8708(18)30461-4 ,https://sci-hub.se/10.1016/s0001-8708%2818%2930461-4,https://booksc.org/s/?q=10.1016/s0001-8708%2818%2930461-4,editorial board
584,2020,,Editorial Board,10.1016/s0001-8708(19)30518-3 ,https://sci-hub.se/10.1016/s0001-8708%2819%2930518-3,https://booksc.org/s/?q=10.1016/s0001-8708%2819%2930518-3,editorial board
584,2020,,Editorial Board,10.1016/s0001-8708(19)30519-5 ,https://sci-hub.se/10.1016/s0001-8708%2819%2930519-5,https://booksc.org/s/?q=10.1016/s0001-8708%2819%2930519-5,editorial board
584,2021,,Editorial Board,10.1016/S0001-8708(20)30536-3 ,https://sci-hub.se/10.1016/S0001-8708%2820%2930536-3,https://booksc.org/s/?q=10.1016/S0001-8708%2820%2930536-3,editorial board
584,2021,,Editorial Board,10.1016/S0001-8708(20)30537-5 ,https://sci-hub.se/10.1016/S0001-8708%2820%2930537-5,https://booksc.org/s/?q=10.1016/S0001-8708%2820%2930537-5,editorial board
619,2018,,Associate Editors,10.1016/S0065-3101(18)30022-7 ,https://sci-hub.se/10.1016/S0065-3101%2818%2930022-7,https://booksc.org/s/?q=10.1016/S0065-3101%2818%2930022-7,editors
619,2019,,Associate Editors,10.1016/s0065-3101(19)30022-2 ,https://sci-hub.se/10.1016/s0065-3101%2819%2930022-2,https://booksc.org/s/?q=10.1016/s0065-3101%2819%2930022-2,editors
