Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Abdominal Imaging,25,Springer,/scimag/journals/25,/scimag/?journal=25&page=1,228,/scimag/?journal=25&year=2017&volume=42&issue=1,,,,
Academic Questions,42,Springer US,/scimag/journals/42,/scimag/?journal=42&page=1,82,/scimag/?journal=42&year=2017&volume=30&issue=1,/scimag/?journal=42&year=2018&volume=31&issue=1,/scimag/?journal=42&year=2019&volume=32&issue=1,/scimag/?journal=42&year=2020&volume=33&issue=1,
Accreditation and Quality Assurance,76,Springer-Verlag,/scimag/journals/76,/scimag/?journal=76&page=1,107,/scimag/?journal=76&year=2017&volume=22&issue=1,/scimag/?journal=76&year=2018&volume=23&issue=1,/scimag/?journal=76&year=2019&volume=24&issue=1,/scimag/?journal=76&year=2020&volume=25&issue=1,
Acta Analytica,196,Springer Netherlands,/scimag/journals/196,/scimag/?journal=196&page=1,22,/scimag/?journal=196&year=2017&volume=32&issue=1,/scimag/?journal=196&year=2018&volume=33&issue=1,/scimag/?journal=196&year=2019&volume=&issue=,/scimag/?journal=196&year=2020&volume=35&issue=3,
Acta Applicandae Mathematicae,199,Springer Netherlands,/scimag/journals/199,/scimag/?journal=199&page=1,113,/scimag/?journal=199&year=2017&volume=147&issue=1,/scimag/?journal=199&year=2018&volume=153&issue=1,/scimag/?journal=199&year=2019&volume=159&issue=1,/scimag/?journal=199&year=2020&volume=170&issue=1,/scimag/?journal=199&year=2021&volume=171&issue=1
Acta Biotheoretica,214,Springer,/scimag/journals/214,/scimag/?journal=214&page=1,57,/scimag/?journal=214&year=2017&volume=65&issue=1,/scimag/?journal=214&year=2018&volume=66&issue=1,/scimag/?journal=214&year=2019&volume=67&issue=2,/scimag/?journal=214&year=2020&volume=&issue=,
Acta Diabetologica,241,Springer,/scimag/journals/241,/scimag/?journal=241&page=1,149,/scimag/?journal=241&year=2017&volume=54&issue=1,/scimag/?journal=241&year=2018&volume=55&issue=1,/scimag/?journal=241&year=2019&volume=56&issue=1,/scimag/?journal=241&year=2020&volume=&issue=,
Acta Endoscopica,246,Springer-Verlag,/scimag/journals/246,/scimag/?journal=246&page=1,179,/scimag/?journal=246&year=2017&volume=47&issue=1,,,,
Acta ethologica,248,Springer,/scimag/journals/248,/scimag/?journal=248&page=1,19,/scimag/?journal=248&year=2017&volume=20&issue=1,/scimag/?journal=248&year=2018&volume=21&issue=1,/scimag/?journal=248&year=2019&volume=22&issue=2,/scimag/?journal=248&year=2020&volume=23&issue=1,
Acta Informatica,266,Springer-Verlag,/scimag/journals/266,/scimag/?journal=266&page=1,65,/scimag/?journal=266&year=2017&volume=54&issue=1,/scimag/?journal=266&year=2018&volume=55&issue=2,/scimag/?journal=266&year=2019&volume=56&issue=5,/scimag/?journal=266&year=2020&volume=57&issue=3-5,
