Journal_Id,Year,Authors,Title,DOI,Link1,Link2,Keyword
214,2019,,"A Word of Welcome to Our New Editorial Board Members, and Presentation of the New Editorial Board",10.1007/s10441-019-09346-y ,https://sci-hub.se/10.1007/s10441-019-09346-y,https://booksc.org/s/?q=10.1007/s10441-019-09346-y,editorial board
784,2019,"Doe, John",AC318   Editorial Board,10.2134/age2018.11.0300 ,https://sci-hub.se/10.2134/age2018.11.0300,https://booksc.org/s/?q=10.2134/age2018.11.0300,editorial board
1039,2017,,Issue Information - TOC,10.1002/ajcp.12087 ,https://sci-hub.se/10.1002/ajcp.12087,https://booksc.org/s/?q=10.1002/ajcp.12087,issue information
1039,2018,,Issue Information,10.1002/ajcp.12164 ,https://sci-hub.se/10.1002/ajcp.12164,https://booksc.org/s/?q=10.1002/ajcp.12164,issue information
1039,2019,,Issue Information,10.1002/ajcp.12259 ,https://sci-hub.se/10.1002/ajcp.12259,https://booksc.org/s/?q=10.1002/ajcp.12259,issue information
1039,2020,,Issue Information,10.1002/ajcp.12343 ,https://sci-hub.se/10.1002/ajcp.12343,https://booksc.org/s/?q=10.1002/ajcp.12343,issue information
1518,2018,,Editorial Board,10.1016/s0890-5096(17)31045-2 ,https://sci-hub.se/10.1016/s0890-5096%2817%2931045-2,https://booksc.org/s/?q=10.1016/s0890-5096%2817%2931045-2,editorial board
1518,2019,,Editorial Board,10.1016/S0890-5096(18)30823-9 ,https://sci-hub.se/10.1016/S0890-5096%2818%2930823-9,https://booksc.org/s/?q=10.1016/S0890-5096%2818%2930823-9,editorial board
1518,2020,,Editorial Board,10.1016/s0890-5096(19)30995-1 ,https://sci-hub.se/10.1016/s0890-5096%2819%2930995-1,https://booksc.org/s/?q=10.1016/s0890-5096%2819%2930995-1,editorial board
2832,2017,,Editorial Board ofBiological Cybernetics: Advances in Computational Neuroscience,10.1007/s00422-017-0709-y ,https://sci-hub.se/10.1007/s00422-017-0709-y,https://booksc.org/s/?q=10.1007/s00422-017-0709-y,editorial board
2832,2020,"Stefanie, Dether",Editorial Board of Biological Cybernetics: Advances in Computational Neuroscience,10.1007/s00422-020-00827-9 ,https://sci-hub.se/10.1007/s00422-020-00827-9,https://booksc.org/s/?q=10.1007/s00422-020-00827-9,editorial board
4131,2020,,Editorial Board and Imprint 2020,10.1007/s10583-020-09401-0 ,https://sci-hub.se/10.1007/s10583-020-09401-0,https://booksc.org/s/?q=10.1007/s10583-020-09401-0,editorial board
6207,2019,,Issue Information,10.1111/1440-1703.1273 ,https://sci-hub.se/10.1111/1440-1703.1273,https://booksc.org/s/?q=10.1111/1440-1703.1273,issue information
6207,2020,,Issue Information,10.1111/1440-1703.12015 ,https://sci-hub.se/10.1111/1440-1703.12015,https://booksc.org/s/?q=10.1111/1440-1703.12015,issue information
6336,2018,"Greenbaum, Hannah K.; Goodsir, Hayden L.; Smith, M Cecil; Robinson, Daniel H. ","Female Participation as Top-Producing Authors, Editors, and Editorial Board Members in Educational Psychology Journals from 2009 to 2016",10.1007/s10648-018-9452-8 ,https://sci-hub.se/10.1007/s10648-018-9452-8,https://booksc.org/s/?q=10.1007/s10648-018-9452-8,editorial board
6689,2018,,Issue Information,10.1111/eea.12647 ,https://sci-hub.se/10.1111/eea.12647,https://booksc.org/s/?q=10.1111/eea.12647,issue information
6689,2019,,Issue Information,10.1111/eea.12769 ,https://sci-hub.se/10.1111/eea.12769,https://booksc.org/s/?q=10.1111/eea.12769,issue information
6689,2020,,Issue Information,10.1111/eea.12879 ,https://sci-hub.se/10.1111/eea.12879,https://booksc.org/s/?q=10.1111/eea.12879,issue information
7190,2017,,Issue Information,10.1111/1475-6765.12193 ,https://sci-hub.se/10.1111/1475-6765.12193,https://booksc.org/s/?q=10.1111/1475-6765.12193,issue information
