Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
A I I E Transactions,8,Taylor and Francis Group,/scimag/journals/8,/scimag/?journal=8&page=1,28,,,,,
A S L E Transactions,10,Taylor and Francis Group,/scimag/journals/10,/scimag/?journal=10&page=1,53,,,,,
Accountability in Research,55,Taylor and Francis Group,/scimag/journals/55,/scimag/?journal=55&page=1,27,/scimag/?journal=55&year=2017&volume=24&issue=3,/scimag/?journal=55&year=2018&volume=25&issue=1,/scimag/?journal=55&year=2019&volume=26&issue=1,/scimag/?journal=55&year=2020&volume=27&issue=1,
Accounting and Business Research,57,Taylor and Francis Group,/scimag/journals/57,/scimag/?journal=57&page=1,82,/scimag/?journal=57&year=2017&volume=47&issue=2,/scimag/?journal=57&year=2018&volume=48&issue=1,/scimag/?journal=57&year=2019&volume=49&issue=3,/scimag/?journal=57&year=2020&volume=50&issue=1,
Accounting Business & Financial History,62,Taylor and Francis Group,/scimag/journals/62,/scimag/?journal=62&page=1,19,,,,,
Accounting Education,64,Taylor and Francis Group,/scimag/journals/64,/scimag/?journal=64&page=1,46,/scimag/?journal=64&year=2017&volume=26&issue=1,/scimag/?journal=64&year=2018&volume=27&issue=1,/scimag/?journal=64&year=2019&volume=28&issue=2,/scimag/?journal=64&year=2020&volume=29&issue=2,
Accounting History Review,68,Taylor and Francis Group,/scimag/journals/68,/scimag/?journal=68&page=1,9,/scimag/?journal=68&year=2017&volume=27&issue=1,/scimag/?journal=68&year=2018&volume=28&issue=1-2,/scimag/?journal=68&year=2019&volume=29&issue=2,/scimag/?journal=68&year=2020&volume=30&issue=1,
Accounting in Europe,70,Taylor and Francis Group,/scimag/journals/70,/scimag/?journal=70&page=1,11,/scimag/?journal=70&year=2017&volume=14&issue=1-2,/scimag/?journal=70&year=2018&volume=15&issue=1,/scimag/?journal=70&year=2019&volume=16&issue=2,/scimag/?journal=70&year=2020&volume=17&issue=3,
"Acta Agriculturae Scandinavica, Section A - Animal Science",184,Taylor and Francis Group,/scimag/journals/184,/scimag/?journal=184&page=1,36,/scimag/?journal=184&year=2017&volume=67&issue=1-2,/scimag/?journal=184&year=2018&volume=68&issue=2,/scimag/?journal=184&year=2019&volume=&issue=,/scimag/?journal=184&year=2020&volume=69&issue=1-2,
"Acta Agriculturae Scandinavica, Section B - Soil & Plant Science",185,Taylor and Francis Group,/scimag/journals/185,/scimag/?journal=185&page=1,67,/scimag/?journal=185&year=2017&volume=67&issue=1,/scimag/?journal=185&year=2018&volume=68&issue=2,/scimag/?journal=185&year=2019&volume=69&issue=2,/scimag/?journal=185&year=2020&volume=70&issue=1,/scimag/?journal=185&year=2021&volume=71&issue=1
"Acta Agriculturae Scandinavica, Section C - Economy",186,Taylor and Francis Group,/scimag/journals/186,/scimag/?journal=186&page=1,7,,,,,
Acta Borealia,215,Taylor and Francis Group,/scimag/journals/215,/scimag/?journal=215&page=1,18,/scimag/?journal=215&year=2017&volume=34&issue=1,/scimag/?journal=215&year=2018&volume=35&issue=1,/scimag/?journal=215&year=2019&volume=36&issue=1,/scimag/?journal=215&year=2020&volume=37&issue=1-2,
Acta Linguistica Hafniensia,271,Taylor and Francis Group,/scimag/journals/271,/scimag/?journal=271&page=1,23,/scimag/?journal=271&year=2017&volume=49&issue=1,/scimag/?journal=271&year=2018&volume=50&issue=1,/scimag/?journal=271&year=2019&volume=51&issue=1,/scimag/?journal=271&year=2020&volume=52&issue=1,
Action in Teacher Education,403,Taylor and Francis Group,/scimag/journals/403,/scimag/?journal=403&page=1,77,/scimag/?journal=403&year=2017&volume=39&issue=1,/scimag/?journal=403&year=2018&volume=40&issue=1,/scimag/?journal=403&year=2019&volume=41&issue=1,/scimag/?journal=403&year=2020&volume=42&issue=1,
Action Learning: Research and Practice,404,Taylor and Francis Group,/scimag/journals/404,/scimag/?journal=404&page=1,26,/scimag/?journal=404&year=2017&volume=14&issue=1,/scimag/?journal=404&year=2018&volume=15&issue=1,/scimag/?journal=404&year=2019&volume=16&issue=1,/scimag/?journal=404&year=2020&volume=17&issue=1,
