Journal_Id,Year,Authors,Title,DOI,Link1,Link2,Keyword
1288,2018,,Editorial Board EOV,10.1080/10495398.2018.1462770 ,https://sci-hub.se/10.1080/10495398.2018.1462770,https://booksc.org/s/?q=10.1080/10495398.2018.1462770,editorial board
1714,2018,,Editorial Board EOV,10.1080/10888691.2018.1470424 ,https://sci-hub.se/10.1080/10888691.2018.1470424,https://booksc.org/s/?q=10.1080/10888691.2018.1470424,editorial board
1718,2017,,Editorial Board,10.1080/13504851.2017.1248138 ,https://sci-hub.se/10.1080/13504851.2017.1248138,https://booksc.org/s/?q=10.1080/13504851.2017.1248138,editorial board
1963,2020,,End of Volume Editorial Board,10.1080/19338244.2020.1834951 ,https://sci-hub.se/10.1080/19338244.2020.1834951,https://booksc.org/s/?q=10.1080/19338244.2020.1834951,editorial board
2004,2017,,Editorial Board EOV,10.1080/13811118.2017.1397862 ,https://sci-hub.se/10.1080/13811118.2017.1397862,https://booksc.org/s/?q=10.1080/13811118.2017.1397862,editorial board
2167,2017,,Editorial Board,10.1080/14631369.2016.1253140 ,https://sci-hub.se/10.1080/14631369.2016.1253140,https://booksc.org/s/?q=10.1080/14631369.2016.1253140,editorial board
3249,2018,,Issue Information,10.1002/berj.3339 ,https://sci-hub.se/10.1002/berj.3339,https://booksc.org/s/?q=10.1002/berj.3339,issue information
3249,2019,,Issue Information,10.1002/berj.3456 ,https://sci-hub.se/10.1002/berj.3456,https://booksc.org/s/?q=10.1002/berj.3456,issue information
3249,2020,,Issue Information,10.1002/berj.3532 ,https://sci-hub.se/10.1002/berj.3532,https://booksc.org/s/?q=10.1002/berj.3532,issue information
3626,2017,,Editorial Board,10.1080/0305764x.2016.1272799 ,https://sci-hub.se/10.1080/0305764x.2016.1272799,https://booksc.org/s/?q=10.1080/0305764x.2016.1272799,editorial board
3877,2018,,EOV Editorial Board,10.1080/01614940.2018.1512224 ,https://sci-hub.se/10.1080/01614940.2018.1512224,https://booksc.org/s/?q=10.1080/01614940.2018.1512224,editorial board
4309,2020,"Fisher, Jonathan; Jackson, Paul ",A Note from the Editors â Editorial Board and New Deputy Editor,10.1080/13698249.2020.1786905 ,https://sci-hub.se/10.1080/13698249.2020.1786905,https://booksc.org/s/?q=10.1080/13698249.2020.1786905,editorial board
