Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Abacus,23,John Wiley and Sons,/scimag/journals/23,/scimag/?journal=23&page=1,42,/scimag/?journal=23&year=2017&volume=53&issue=1,/scimag/?journal=23&year=2018&volume=54&issue=1,/scimag/?journal=23&year=2019&volume=55&issue=1,/scimag/?journal=23&year=2020&volume=56&issue=1,
About Campus,30,John Wiley and Sons,/scimag/journals/30,/scimag/?journal=30&page=1,43,/scimag/?journal=30&year=2017&volume=21&issue=6,/scimag/?journal=30&year=2018&volume=22&issue=6,/scimag/?journal=30&year=2019&volume=23&issue=6,/scimag/?journal=30&year=2020&volume=24&issue=6,
Academic Emergency Medicine,37,John Wiley and Sons,/scimag/journals/37,/scimag/?journal=37&page=1,285,/scimag/?journal=37&year=2017&volume=24&issue=,/scimag/?journal=37&year=2018&volume=25&issue=S1,/scimag/?journal=37&year=2019&volume=26&issue=S1,/scimag/?journal=37&year=2020&volume=27&issue=S1,
Accounting & Finance,56,John Wiley and Sons,/scimag/journals/56,/scimag/?journal=56&page=1,60,/scimag/?journal=56&year=2017&volume=57&issue=,/scimag/?journal=56&year=2018&volume=58&issue=,/scimag/?journal=56&year=2019&volume=58&issue=5,/scimag/?journal=56&year=2020&volume=60&issue=S1,
Acta Anaesthesiologica Scandinavica,193,John Wiley and Sons,/scimag/journals/193,/scimag/?journal=193&page=1,441,/scimag/?journal=193&year=2017&volume=61&issue=1,/scimag/?journal=193&year=2018&volume=62&issue=1,/scimag/?journal=193&year=2019&volume=63&issue=1,/scimag/?journal=193&year=2020&volume=64&issue=1,/scimag/?journal=193&year=2021&volume=65&issue=1
Acta Archaeologica (Blackwell Publishing),202,John Wiley and Sons,/scimag/journals/202,/scimag/?journal=202&page=1,48,/scimag/?journal=202&year=2017&volume=88&issue=1,/scimag/?journal=202&year=2018&volume=89&issue=1,/scimag/?journal=202&year=2019&volume=90&issue=1,/scimag/?journal=202&year=2020&volume=91&issue=1,
Acta Biochimica et Biophysica Sinica,207,John Wiley and Sons,/scimag/journals/207,/scimag/?journal=207&page=1,95,/scimag/?journal=207&year=2017&volume=49&issue=1,/scimag/?journal=207&year=2018&volume=50&issue=1,/scimag/?journal=207&year=2019&volume=51&issue=1,/scimag/?journal=207&year=2020&volume=52&issue=3,
Acta Biotechnologica,213,John Wiley and Sons,/scimag/journals/213,/scimag/?journal=213&page=1,74,,,,,
Acta Crystallographica Section F Structural Biology and Crystallization Communications,238,John Wiley and Sons,/scimag/journals/238,/scimag/?journal=238&page=1,159,/scimag/?journal=238&year=2017&volume=73&issue=1,/scimag/?journal=238&year=2018&volume=74&issue=1,/scimag/?journal=238&year=2019&volume=75&issue=1,/scimag/?journal=238&year=2020&volume=76&issue=1,
Acta Hydrochimica et Hydrobilogica,264,John Wiley and Sons,/scimag/journals/264,/scimag/?journal=264&page=1,2,,,,,
Acta Medica Austriaca,288,John Wiley and Sons,/scimag/journals/288,/scimag/?journal=288&page=1,5,,,,,
Acta Neurologica Scandinavica,304,John Wiley and Sons,/scimag/journals/304,/scimag/?journal=304&page=1,422,/scimag/?journal=304&year=2017&volume=135&issue=1,/scimag/?journal=304&year=2018&volume=137&issue=1,/scimag/?journal=304&year=2019&volume=139&issue=1,/scimag/?journal=304&year=2020&volume=141&issue=1,/scimag/?journal=304&year=2021&volume=143&issue=1
Acta Neuropsychiatrica,306,John Wiley and Sons,/scimag/journals/306,/scimag/?journal=306&page=1,74,/scimag/?journal=306&year=2017&volume=29&issue=s1,/scimag/?journal=306&year=2018&volume=30&issue=s1,/scimag/?journal=306&year=2019&volume=31&issue=s1,/scimag/?journal=306&year=2020&volume=&issue=,
Acta Ophthalmologica Scandinavica,317,John Wiley and Sons,/scimag/journals/317,/scimag/?journal=317&page=1,3,,,,,
Acta Paediatrica,328,John Wiley and Sons,/scimag/journals/328,/scimag/?journal=328&page=1,542,/scimag/?journal=328&year=2017&volume=106&issue=,/scimag/?journal=328&year=2018&volume=107&issue=S472,/scimag/?journal=328&year=2019&volume=108&issue=1,/scimag/?journal=328&year=2020&volume=109&issue=1,/scimag/?journal=328&year=2021&volume=110&issue=1
Acta Physiologica,356,John Wiley and Sons,/scimag/journals/356,/scimag/?journal=356&page=1,609,/scimag/?journal=356&year=2017&volume=219&issue=,/scimag/?journal=356&year=2018&volume=222&issue=1,/scimag/?journal=356&year=2019&volume=225&issue=,/scimag/?journal=356&year=2020&volume=228&issue=1,/scimag/?journal=356&year=2021&volume=231&issue=1
Acta Physiologica Scandinavica,358,John Wiley and Sons,/scimag/journals/358,/scimag/?journal=358&page=1,38,,,,,
Acta Polymerica,363,John Wiley and Sons,/scimag/journals/363,/scimag/?journal=363&page=1,143,,,,,
Acta Psychiatrica Scandinavica,365,John Wiley and Sons,/scimag/journals/365,/scimag/?journal=365&page=1,208,/scimag/?journal=365&year=2017&volume=135&issue=1,/scimag/?journal=365&year=2018&volume=137&issue=1,/scimag/?journal=365&year=2019&volume=139&issue=1,/scimag/?journal=365&year=2020&volume=141&issue=1,
Acta Zoologica,390,John Wiley and Sons,/scimag/journals/390,/scimag/?journal=390&page=1,89,/scimag/?journal=390&year=2017&volume=98&issue=2,/scimag/?journal=390&year=2018&volume=99&issue=1,/scimag/?journal=390&year=2019&volume=100&issue=1,/scimag/?journal=390&year=2020&volume=101&issue=1,/scimag/?journal=390&year=2021&volume=102&issue=1
Addiction,423,John Wiley and Sons,/scimag/journals/423,/scimag/?journal=423&page=1,558,/scimag/?journal=423&year=2017&volume=112&issue=,/scimag/?journal=423&year=2018&volume=113&issue=,/scimag/?journal=423&year=2019&volume=114&issue=S1,/scimag/?journal=423&year=2020&volume=115&issue=1,/scimag/?journal=423&year=2021&volume=116&issue=1
