Journal_Id,Year,Authors,Title,DOI,Link1,Link2,Keyword,LinksPDF
23,2018,,Issue Information,10.1111/abac.12126 ,https://sci-hub.se/10.1111/abac.12126,https://booksc.org/s/?q=10.1111/abac.12126,issue information,//twin.sci-hub.se/6788/0878d0c862d40fffa76aa069930e3db6/issue-information-2018.pdf#navpanes=0&view=FitH
23,2019,,Issue Information,10.1111/abac.12133 ,https://sci-hub.se/10.1111/abac.12133,https://booksc.org/s/?q=10.1111/abac.12133,issue information,/downloads/2019-11-18/8a/issue-information-2019.pdf#navpanes=0&view=FitH
23,2020,,Issue Information,10.1111/abac.12159 ,https://sci-hub.se/10.1111/abac.12159,https://booksc.org/s/?q=10.1111/abac.12159,issue information,/downloads/2020-12-16/37f0/issue-information-2020.pdf#navpanes=0&view=FitH
37,2017,,Issue Information,10.1111/acem.13086 ,https://sci-hub.se/10.1111/acem.13086,https://booksc.org/s/?q=10.1111/acem.13086,issue information,//twin.sci-hub.se/6483/d1953c81fc61751d597f26a07ab2ecad/issue-information-2017.pdf#navpanes=0&view=FitH
37,2018,,Issue Information,10.1111/acem.13294 ,https://sci-hub.se/10.1111/acem.13294,https://booksc.org/s/?q=10.1111/acem.13294,issue information,/downloads/2020-01-23/29/issue-information-2018.pdf#navpanes=0&view=FitH
37,2019,,Issue Information,10.1111/acem.13483 ,https://sci-hub.se/10.1111/acem.13483,https://booksc.org/s/?q=10.1111/acem.13483,issue information,/downloads/2020-01-20/feaa/issue-information-2019.pdf#navpanes=0&view=FitH
37,2020,,Issue Information,10.1111/acem.13728 ,https://sci-hub.se/10.1111/acem.13728,https://booksc.org/s/?q=10.1111/acem.13728,issue information,/downloads/2020-12-16/53b0/issue-information-2020.pdf#navpanes=0&view=FitH
56,2017,,Issue Information,10.1111/acfi.12230 ,https://sci-hub.se/10.1111/acfi.12230,https://booksc.org/s/?q=10.1111/acfi.12230,issue information,//twin.sci-hub.se/6295/78f5843af00f8034d3a8e4f938b6b712/issue-information-2017.pdf#navpanes=0&view=FitH
56,2018,,Issue Information,10.1111/acfi.12289 ,https://sci-hub.se/10.1111/acfi.12289,https://booksc.org/s/?q=10.1111/acfi.12289,issue information,/downloads/2019-01-16//05/issue-information-2018.pdf#navpanes=0&view=FitH
56,2019,,Issue Information,10.1111/acfi.12410 ,https://sci-hub.se/10.1111/acfi.12410,https://booksc.org/s/?q=10.1111/acfi.12410,issue information,/downloads/2020-01-20/716c/issue-information-2019.pdf#navpanes=0&view=FitH
56,2020,,Issue Information,10.1111/acfi.12623 ,https://sci-hub.se/10.1111/acfi.12623,https://booksc.org/s/?q=10.1111/acfi.12623,issue information,/downloads/2020-12-16/a629/issue-information-2020.pdf#navpanes=0&view=FitH
193,2017,,Issue Information - TOC,10.1111/aas.12789 ,https://sci-hub.se/10.1111/aas.12789,https://booksc.org/s/?q=10.1111/aas.12789,issue information,//twin.sci-hub.se/6473/b6cf6f260e70ef502089b153b6002cab/issue-information--toc-2016.pdf#navpanes=0&view=FitH
193,2018,,Issue Information,10.1111/aas.12969 ,https://sci-hub.se/10.1111/aas.12969,https://booksc.org/s/?q=10.1111/aas.12969,issue information,//twin.sci-hub.se/6820/26598169a40d3afeab2c53d0aaf64cd0/issue-information-2017.pdf#navpanes=0&view=FitH
193,2019,,Issue Information,10.1111/aas.13181 ,https://sci-hub.se/10.1111/aas.13181,https://booksc.org/s/?q=10.1111/aas.13181,issue information,/downloads/2020-01-26/70/issue-information-2018.pdf#navpanes=0&view=FitH
193,2020,,Issue Information,10.1111/aas.13391 ,https://sci-hub.se/10.1111/aas.13391,https://booksc.org/s/?q=10.1111/aas.13391,issue information,/downloads/2020-03-01/a4aa/issue-information-2019.pdf#navpanes=0&view=FitH
193,2021,,Issue Information,10.1111/aas.13624 ,https://sci-hub.se/10.1111/aas.13624,https://booksc.org/s/?q=10.1111/aas.13624,issue information,/downloads/2020-12-16/f7f2/issue-information-2020.pdf#navpanes=0&view=FitH
202,2017,,Issue Information,10.1111/j.1600-0390.2017.12187.x ,https://sci-hub.se/10.1111/j.1600-0390.2017.12187.x,https://booksc.org/s/?q=10.1111/j.1600-0390.2017.12187.x,issue information,//twin.sci-hub.se/6792/b6c8a2b2f760ef8f05b6805d19980e68/issue-information-2017.pdf#navpanes=0&view=FitH
202,2018,,Issue Information,10.1111/j.1600-0390.2018.12172.x ,https://sci-hub.se/10.1111/j.1600-0390.2018.12172.x,https://booksc.org/s/?q=10.1111/j.1600-0390.2018.12172.x,issue information,/downloads/2019-04-12/03/issue-information-2018.pdf#navpanes=0&view=FitH
202,2019,,Issue Information,10.1111/j.1600-0390.2019.12188.x ,https://sci-hub.se/10.1111/j.1600-0390.2019.12188.x,https://booksc.org/s/?q=10.1111/j.1600-0390.2019.12188.x,issue information,/downloads/2020-01-22/ed5c/issue-information-2019.pdf#navpanes=0&view=FitH
